,control_day3,covid_day3,chi
21592,221.74289975000002,73.41231042000001,299.7040088387006
15835,427.4232878,189.7121479,297.8543369945019
6756,69.18352877000001,11.270389025,297.5879313202234
14136,445.42226844,201.13309640000003,296.70502092458554
13132,167.81502425,48.270673370000004,296.0566080729724
3721,24.338723581500002,1.7339060035,294.69750765221215
20277,30.23753718,2.6008590055000003,293.6668150429212
27245,34.4217444175,3.3041480460000003,293.05732989531725
8051,208.24219152499998,67.67096733,292.0051220092549
4928,93.45310039499999,19.07296604,290.06523553102545
6685,369.10658765,868.5934260500001,287.2311650680927
16709,204.66314955,66.52531961,286.8390587583735
19063,183.41648005,596.64887815,286.20017751302436
19821,999.90201715,589.8638136500001,285.034145914347
16143,188.6640271,59.050070515,284.5005534303427
20020,849.21288725,480.20314114999996,283.56372761470953
12616,64.61318028,10.40343602,282.4736334308329
28657,213.82689718,71.62977124,282.2851766180822
8231,1189.0098549999998,734.06515135,281.9568303965179
23349,253.30025800000004,92.157948565,281.76456067411925
9471,51.1124720525,6.935624015,281.3869232685572
28718,224.8464792,77.63204467,279.1642269131498
15800,1211.0864335,753.2886768,278.2184207651328
23963,794.6567957999998,443.46378715,278.1208587904851
3717,249.48202275,90.84863686999999,276.994261914598
14564,103.88480516499999,23.407731050000002,276.6846322814018
153,16.342043701,0.866953002,276.23000507503446
23754,435.41996770000003,200.27924785000002,276.0703304267786
995,91.418623385,19.07296604,274.4142744082689
14599,314.15859235000005,127.47296005000001,273.403279358859
8524,931.8049216000001,546.2066000000001,272.2157982359367
8417,530.5444544,263.05806075,271.98927333338804
6968,1110.2418613500001,680.1859299,271.90815929185425
30599,1218.5442615000002,763.5415534,271.1410576889422
857,151.16751655000002,43.232619325,269.4711128047367
25849,487.5640848500001,236.5762432,266.2773565259046
16380,553.162809,280.08755725000003,266.2385071671222
25294,275.6448433,107.22347747,264.5479995365672
27937,15.993359761499999,0.866953002,263.92224368103314
17448,985.7126278000001,590.9739326499999,263.66414631862824
15776,193.60322885,63.92446060500001,263.0696101990271
20511,477.73754529999997,231.17999235000002,262.95799346102893
23403,119.18079705,30.179691101000003,262.4677911260216
30986,1354.1823986,875.0997955999999,262.27881854307645
6667,791.3630486,448.43544365,262.24363819138364
19823,549.13131235,278.8932763,261.8514045839014
11877,127.86331945,33.859800265000004,260.97796059059715
20079,939.86499095,558.3084133499999,260.761647914767
10740,939.9082108,558.84803835,259.8324500813267
2267,554.9350420000001,283.76766635,259.126582540993
20092,442.06801315000007,933.9862021499998,259.08680889717954
17188,787.6542612000001,447.32532464999997,258.92516848644283
23341,487.88683679999997,239.34076614999998,258.10542110840817
8101,133.4480251,36.46065927,257.99174559583463
7791,825.9144102500001,475.65607895,257.91933305230936
25841,602.16012675,316.97281085000003,256.5892163815109
13927,316.90196249999997,132.6260449,256.040311184172
13999,32.3354034625,3.3041480460000003,255.07749027116694
19591,50.03760692,347.2011351,254.3371940732622
10944,880.1593176499999,518.4772084,252.30414381225268
11237,620.5741046999999,331.9719422,250.89833691275237
15366,605.9409047500001,321.94446730000004,250.52139321013817
21640,223.14051684999998,80.887559515,250.1732527460013
6733,1175.0019039000001,744.03554835,249.62785720109082
29600,37.193927914999996,4.334765009,249.08491801545915
16782,149.09558225,44.263236285000005,248.28326355905656
6240,469.32014825,230.41030575,247.72291611515647
6036,376.4577637,170.82061015,247.54998172067047
21653,285.70769485,116.31760183999998,246.678087890816
17566,261.98278045,667.3452988500001,246.22751011620522
6547,110.87577188999998,438.76616545,245.03281851431484
29868,199.8161504,69.617170495,243.49990451737895
